,depth,count,x_min,y_min,x_max,y_max
0,4,2,17.102249999999998,17.102249999999998,21.377812499999997,21.377812499999997
1,4,1,17.102249999999998,21.377812499999997,21.377812499999997,25.653374999999997
2,4,2,25.653374999999997,25.653374999999997,29.928937499999996,29.928937499999996
3,4,4,29.928937499999996,29.928937499999996,34.204499999999996,34.204499999999996
4,4,1,25.653374999999997,29.928937499999996,29.928937499999996,34.204499999999996
5,4,1,29.928937499999996,25.653374999999997,34.204499999999996,29.928937499999996
6,4,3,21.377812499999997,29.928937499999996,25.653374999999997,34.204499999999996
7,4,1,17.102249999999998,29.928937499999996,21.377812499999997,34.204499999999996
8,4,1,25.653374999999997,17.102249999999998,29.928937499999996,21.377812499999997
9,4,1,29.928937499999996,21.377812499999997,34.204499999999996,25.653374999999997
10,4,1,25.653374999999997,21.377812499999997,29.928937499999996,25.653374999999997
11,4,2,29.928937499999996,17.102249999999998,34.204499999999996,21.377812499999997
12,4,1,12.826687499999998,21.377812499999997,17.102249999999998,25.653374999999997
13,4,1,29.928937499999996,8.551124999999999,34.204499999999996,12.826687499999998
14,4,5,34.204499999999996,34.204499999999996,38.480062499999995,38.480062499999995
15,4,7,38.480062499999995,38.480062499999995,42.755624999999995,42.755624999999995
16,4,4,34.204499999999996,38.480062499999995,38.480062499999995,42.755624999999995
17,4,3,38.480062499999995,34.204499999999996,42.755624999999995,38.480062499999995
18,4,7,42.755624999999995,42.755624999999995,47.031187499999994,47.031187499999994
19,4,12,47.031187499999994,47.031187499999994,51.306749999999994,51.306749999999994
20,4,8,42.755624999999995,47.031187499999994,47.031187499999994,51.306749999999994
21,4,8,47.031187499999994,42.755624999999995,51.306749999999994,47.031187499999994
22,4,7,34.204499999999996,42.755624999999995,38.480062499999995,47.031187499999994
23,4,7,38.480062499999995,47.031187499999994,42.755624999999995,51.306749999999994
24,4,4,34.204499999999996,47.031187499999994,38.480062499999995,51.306749999999994
25,4,7,38.480062499999995,42.755624999999995,42.755624999999995,47.031187499999994
26,4,5,42.755624999999995,34.204499999999996,47.031187499999994,38.480062499999995
27,4,4,47.031187499999994,38.480062499999995,51.306749999999994,42.755624999999995
28,4,8,42.755624999999995,38.480062499999995,47.031187499999994,42.755624999999995
29,4,2,47.031187499999994,34.204499999999996,51.306749999999994,38.480062499999995
30,4,15,51.306749999999994,51.306749999999994,55.58231249999999,55.58231249999999
31,4,27,55.58231249999999,55.58231249999999,59.85787499999999,59.85787499999999
32,4,23,51.306749999999994,55.58231249999999,55.58231249999999,59.85787499999999
33,4,20,55.58231249999999,51.306749999999994,59.85787499999999,55.58231249999999
34,4,58,59.85787499999999,59.85787499999999,64.13343749999999,64.13343749999999
35,4,86,64.13343749999999,64.13343749999999,68.40899999999999,68.40899999999999
36,4,77,59.85787499999999,64.13343749999999,64.13343749999999,68.40899999999999
37,4,79,64.13343749999999,59.85787499999999,68.40899999999999,64.13343749999999
38,4,15,51.306749999999994,59.85787499999999,55.58231249999999,64.13343749999999
39,4,35,55.58231249999999,64.13343749999999,59.85787499999999,68.40899999999999
